bar,beer,date,startquantity,endquantity
"Peaceful Bison","Grey Whale Ale",2018-10-11,176,161
"Daily Barracuda Inn","Southside Strong",2018-10-16,223,208
"Impossible Fire","Viven Porter",2018-10-13,256,243
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-11,201,188
"Clever Child","Killer Whale Stout",2018-10-14,194,184
"Absent Snow","North Beach Ale",2018-10-21,235,222
"Sudden Octopus","Leviathan Imperial Stout",2018-10-18,234,220
"Shouting Snake Inn",Hefeweizen,2018-10-22,240,225
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-14,168,153
"Hidden Lady Parlor","Inspiration Ale",2018-10-15,231,221
"Chinese Oak","Cauldron Espresso Stout",2018-10-22,165,154
"Tasty Fairy Tavern","Hop Hash",2018-10-10,140,125
"Discreet Elderberry Pub","Amstel Gold",2018-10-11,122,107
"Blue City","Viven Porter",2018-10-18,255,244
"Atomic Liquors","North Beach Ale",2018-10-14,167,152
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-22,171,160
"Scared Crossbow Tavern","Celebration Ale",2018-10-18,171,160
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-16,193,180
Anchor,"St. Stephen's Bock",2018-10-10,137,122
"Quickest Doves","Orca Porter",2018-10-19,242,228
"Unusual Truffle","Pilot Rock Porter",2018-10-17,180,165
"Gifted Zebra Tavern",Megalodon,2018-10-12,212,200
"Dramatic Crabs","Viven Porter",2018-10-13,231,219
"Rusty Sailor Outpost","Emerald Ale",2018-10-14,174,162
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-15,181,171
"Jaded Pants Pub","Blue Whale Ale",2018-10-22,193,183
"Iron Tigress Inn","Hop Hash",2018-10-16,195,185
"Responsible Chair","Amstel Gold",2018-10-10,240,230
"Laughing Elephant Tavern","Red Moon",2018-10-10,213,199
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-19,187,172
"Twelve Spider Inn","Viven Porter",2018-10-13,180,168
"New Spider Bar","Deviator Doppelbock",2018-10-13,250,238
"Sore Head","Holiday Ale",2018-10-11,150,140
"Molten Ants Bar","Grey Whale Ale",2018-10-19,207,196
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-10,139,126
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-19,247,235
"Windy Harp","Viven Porter",2018-10-20,170,160
"Naughty Bean Inn","Honey Fayre",2018-10-10,140,126
"Deep Glass Bar","Orca Porter",2018-10-22,244,231
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-16,217,206
"Daily Barracuda Inn","Southside Strong",2018-10-17,208,193
"Absent Snow","North Beach Ale",2018-10-22,222,211
"Peaceful Bison","Grey Whale Ale",2018-10-12,161,147
"Clever Child","Killer Whale Stout",2018-10-15,184,174
"Sudden Octopus","Leviathan Imperial Stout",2018-10-19,220,208
"Shouting Snake Inn","Amstel Bock",2018-10-09,250,240
"Foamy Cave","Holiday Ale",2018-10-10,235,223
"Impossible Fire","Viven Porter",2018-10-14,243,231
"Discreet Elderberry Pub","Amstel Gold",2018-10-12,157,142
Anchor,"St. Stephen's Bock",2018-10-11,122,110
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-15,153,139
"Chinese Oak","Orca Porter",2018-10-09,175,161
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-12,230,218
"Blue City","Viven Porter",2018-10-19,244,234
"Hidden Lady Parlor","Inspiration Ale",2018-10-16,221,207
"Tasty Fairy Tavern","Hop Hash",2018-10-11,125,111
"Atomic Liquors","North Beach Ale",2018-10-15,152,137
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-09,225,214
"Scared Crossbow Tavern","Celebration Ale",2018-10-19,160,147
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-17,180,166
"Responsible Chair","Amstel Gold",2018-10-11,230,217
"Gifted Zebra Tavern",Megalodon,2018-10-13,258,246
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-16,171,161
"Laughing Elephant Tavern","Red Moon",2018-10-11,199,184
"Rusty Sailor Outpost","Emerald Ale",2018-10-15,162,150
"New Spider Bar","Deviator Doppelbock",2018-10-14,238,224
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-20,235,225
"Iron Tigress Inn","Hop Hash",2018-10-17,185,170
"Windy Harp","Viven Porter",2018-10-21,208,197
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-20,172,159
"Unusual Truffle","Pilot Rock Porter",2018-10-18,206,191
"Quickest Doves","Orca Porter",2018-10-20,228,215
"Dramatic Crabs","Viven Porter",2018-10-14,219,207
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-11,126,115
"Sore Head","Holiday Ale",2018-10-12,140,126
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-17,259,247
"Deep Glass Bar","Blue Whale Ale",2018-10-09,225,211
"Twelve Spider Inn","Viven Porter",2018-10-14,168,153
"Jaded Pants Pub","Celebration Ale",2018-10-09,175,163
"Naughty Bean Inn","Honey Fayre",2018-10-11,126,114
"Molten Ants Bar","Grey Whale Ale",2018-10-20,196,185
"Shouting Snake Inn","Amstel Bock",2018-10-10,240,227
"Absent Snow","Dry Stout",2018-10-09,250,238
"Clever Child","Killer Whale Stout",2018-10-16,174,162
"Daily Barracuda Inn","Southside Strong",2018-10-18,234,224
"Peaceful Bison","Grey Whale Ale",2018-10-13,205,190
"Discreet Elderberry Pub","Amstel Gold",2018-10-13,142,132
"Foamy Cave","Holiday Ale",2018-10-11,223,208
"Impossible Fire","Viven Porter",2018-10-15,231,221
"Chinese Oak","Orca Porter",2018-10-10,161,147
Anchor,"St. Stephen's Bock",2018-10-12,110,95
"Sudden Octopus","Leviathan Imperial Stout",2018-10-20,208,195
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-13,218,204
"Blue City","Viven Porter",2018-10-20,234,223
"Tasty Fairy Tavern","Hop Hash",2018-10-12,111,101
"Laughing Elephant Tavern","Red Moon",2018-10-12,231,216
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-16,139,128
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-10,214,201
"Scared Crossbow Tavern","Celebration Ale",2018-10-20,147,136
"Hidden Lady Parlor","Inspiration Ale",2018-10-17,207,197
"Atomic Liquors","North Beach Ale",2018-10-16,137,123
"Rusty Sailor Outpost","Emerald Ale",2018-10-16,150,139
"Gifted Zebra Tavern",Megalodon,2018-10-14,246,235
"Deep Glass Bar","Blue Whale Ale",2018-10-10,211,201
"Responsible Chair","Amstel Gold",2018-10-12,259,248
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-18,207,194
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-17,161,147
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-18,247,236
"Windy Harp","Viven Porter",2018-10-22,197,184
"Dramatic Crabs","Viven Porter",2018-10-15,207,192
"Quickest Doves","Orca Porter",2018-10-21,258,246
"Iron Tigress Inn","Hop Hash",2018-10-18,210,197
"Unusual Truffle","Pilot Rock Porter",2018-10-19,191,181
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-21,210,199
"Sore Head","Holiday Ale",2018-10-13,180,165
"Twelve Spider Inn","Viven Porter",2018-10-15,153,140
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-12,115,104
"New Spider Bar","Deviator Doppelbock",2018-10-15,258,243
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-21,260,246
"Naughty Bean Inn","Honey Fayre",2018-10-12,158,143
"Jaded Pants Pub","Celebration Ale",2018-10-10,163,152
"Molten Ants Bar","Grey Whale Ale",2018-10-21,234,222
"Shouting Snake Inn","Amstel Bock",2018-10-11,227,214
"Absent Snow","Dry Stout",2018-10-10,238,225
"Clever Child","Killer Whale Stout",2018-10-17,208,196
"Peaceful Bison","Grey Whale Ale",2018-10-14,190,177
"Daily Barracuda Inn","Southside Strong",2018-10-19,224,210
"Tasty Fairy Tavern","Hop Hash",2018-10-13,156,142
Anchor,"St. Stephen's Bock",2018-10-13,159,149
"Laughing Elephant Tavern","Red Moon",2018-10-13,216,201
"Chinese Oak","Orca Porter",2018-10-11,147,135
"Discreet Elderberry Pub","Amstel Gold",2018-10-14,132,118
"Impossible Fire","Viven Porter",2018-10-16,221,209
"Foamy Cave","Holiday Ale",2018-10-12,260,250
"Sudden Octopus","Leviathan Imperial Stout",2018-10-21,231,220
"Deep Glass Bar","Blue Whale Ale",2018-10-11,201,187
"Scared Crossbow Tavern","Celebration Ale",2018-10-21,181,166
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-14,204,193
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-11,201,189
"Blue City","Viven Porter",2018-10-21,255,241
"Hidden Lady Parlor","Inspiration Ale",2018-10-18,235,224
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-17,185,175
"Atomic Liquors","North Beach Ale",2018-10-17,184,171
"Gifted Zebra Tavern",Megalodon,2018-10-15,235,221
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-19,236,223
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-18,183,173
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-19,194,182
"Responsible Chair","Amstel Gold",2018-10-13,248,235
"Dramatic Crabs","Viven Porter",2018-10-16,192,180
"Rusty Sailor Outpost","Emerald Ale",2018-10-17,181,167
"Quickest Doves","Orca Porter",2018-10-22,246,234
"Unusual Truffle","Pilot Rock Porter",2018-10-20,181,171
"Iron Tigress Inn","Hop Hash",2018-10-19,197,186
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-22,199,189
"Twelve Spider Inn","Viven Porter",2018-10-16,140,130
"Sore Head","Holiday Ale",2018-10-14,165,154
"Windy Harp","Ballz Deep Double IPA",2018-10-09,200,187
"New Spider Bar","Deviator Doppelbock",2018-10-16,243,229
"Jaded Pants Pub","Celebration Ale",2018-10-11,152,137
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-22,246,234
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-13,157,146
"Naughty Bean Inn","Honey Fayre",2018-10-13,143,133
"Molten Ants Bar","Grey Whale Ale",2018-10-22,222,210
"Shouting Snake Inn","Amstel Bock",2018-10-12,214,201
"Peaceful Bison","Grey Whale Ale",2018-10-15,177,164
"Absent Snow","Dry Stout",2018-10-11,225,213
"Clever Child","Killer Whale Stout",2018-10-18,196,182
"Daily Barracuda Inn","Southside Strong",2018-10-20,210,195
"Tasty Fairy Tavern","Hop Hash",2018-10-14,142,127
Anchor,"St. Stephen's Bock",2018-10-14,149,137
"Laughing Elephant Tavern","Red Moon",2018-10-14,201,188
"Deep Glass Bar","Blue Whale Ale",2018-10-12,233,218
"Chinese Oak","Orca Porter",2018-10-12,135,123
"Discreet Elderberry Pub","Amstel Gold",2018-10-15,156,142
"Foamy Cave","Holiday Ale",2018-10-13,250,240
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-20,223,208
"Scared Crossbow Tavern","Celebration Ale",2018-10-22,166,155
"Impossible Fire","Viven Porter",2018-10-17,257,242
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-15,233,221
"Sudden Octopus","Leviathan Imperial Stout",2018-10-22,220,207
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-12,233,223
"Hidden Lady Parlor","Inspiration Ale",2018-10-19,224,214
"Gifted Zebra Tavern",Megalodon,2018-10-16,221,211
"Blue City","Viven Porter",2018-10-22,241,227
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-18,175,163
"Atomic Liquors","North Beach Ale",2018-10-18,171,156
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-19,173,158
"Dramatic Crabs","Viven Porter",2018-10-17,230,218
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-14,146,133
"Oceanic Knight Inn","Dry Stout",2018-10-09,175,165
"Twelve Spider Inn","Viven Porter",2018-10-17,181,167
"Jaded Pants Pub","Celebration Ale",2018-10-12,137,123
"Naughty Bean Inn","Honey Fayre",2018-10-14,133,118
"Responsible Chair","Amstel Gold",2018-10-14,235,222
"Unusual Truffle","Pilot Rock Porter",2018-10-21,208,193
"Windy Harp","Ballz Deep Double IPA",2018-10-10,187,175
"Quickest Doves","Amstel Malt",2018-10-09,150,136
"Rusty Sailor Outpost","Emerald Ale",2018-10-18,167,152
"Iron Tigress Inn","Hop Hash",2018-10-20,186,176
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-20,182,167
"Hoppy Apple Brewhouse","Amstel Lentebock",2018-10-09,200,190
"Sore Head","Holiday Ale",2018-10-15,154,141
"Shouting Snake Inn","Amstel Bock",2018-10-13,255,242
"New Spider Bar","Deviator Doppelbock",2018-10-17,229,214
"Absent Snow","Dry Stout",2018-10-12,213,202
"Clever Child","Killer Whale Stout",2018-10-19,182,168
"Daily Barracuda Inn","Southside Strong",2018-10-21,231,220
"Peaceful Bison","Grey Whale Ale",2018-10-16,164,150
"Molten Ants Bar","Amstel Light",2018-10-09,250,236
Anchor,"St. Stephen's Bock",2018-10-15,137,127
"Tasty Fairy Tavern","Hop Hash",2018-10-15,127,113
"Laughing Elephant Tavern","Red Moon",2018-10-15,235,223
"Discreet Elderberry Pub","Amstel Gold",2018-10-16,142,130
"Deep Glass Bar","Blue Whale Ale",2018-10-13,218,207
"Impossible Fire","Viven Porter",2018-10-18,242,227
"Scary Kiwi","Swamp Fox IPA",2018-10-09,200,187
"Foamy Cave","Holiday Ale",2018-10-14,240,225
"Chinese Oak","Orca Porter",2018-10-13,182,172
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-21,256,241
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-16,221,211
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-19,163,148
"Sudden Octopus","Telford Porter",2018-10-09,150,138
"Gifted Zebra Tavern",Megalodon,2018-10-17,257,246
"Hidden Lady Parlor","Inspiration Ale",2018-10-20,214,199
"Brave Olive Pub","Amstel Malt",2018-10-09,225,213
"Atomic Liquors","North Beach Ale",2018-10-19,156,144
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-13,223,209
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-20,158,145
"Dramatic Crabs","Viven Porter",2018-10-18,218,208
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-15,133,119
"Oceanic Knight Inn","Dry Stout",2018-10-10,165,155
"Shouting Snake Inn","Amstel Bock",2018-10-14,242,228
"Twelve Spider Inn","Viven Porter",2018-10-18,167,153
"Absent Snow","Dry Stout",2018-10-13,256,245
"Peaceful Bison","Grey Whale Ale",2018-10-17,209,198
"Daily Barracuda Inn","Southside Strong",2018-10-22,220,207
"Responsible Chair","Amstel Gold",2018-10-15,255,243
Anchor,"St. Stephen's Bock",2018-10-16,127,114
"Naughty Bean Inn","Honey Fayre",2018-10-15,156,142
"Unusual Truffle","Pilot Rock Porter",2018-10-22,193,179
"Iron Tigress Inn","Hop Hash",2018-10-21,206,195
"Jaded Pants Pub","Celebration Ale",2018-10-13,185,174
"Quickest Doves","Amstel Malt",2018-10-10,136,125
"Rusty Sailor Outpost","Emerald Ale",2018-10-19,152,139
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-21,206,196
"Laughing Elephant Tavern","Red Moon",2018-10-16,223,213
"Windy Harp","Ballz Deep Double IPA",2018-10-11,175,161
"Discreet Elderberry Pub","Amstel Gold",2018-10-17,130,120
"Clever Child","Killer Whale Stout",2018-10-20,168,157
"Deep Glass Bar","Blue Whale Ale",2018-10-14,207,196
"Tasty Fairy Tavern","Hop Hash",2018-10-16,113,103
"Sore Head","Holiday Ale",2018-10-16,141,128
"Hoppy Apple Brewhouse","Amstel Lentebock",2018-10-10,190,175
"Chinese Oak","Orca Porter",2018-10-14,172,157
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-22,241,227
"New Spider Bar","Deviator Doppelbock",2018-10-18,258,246
"Molten Ants Bar","Amstel Light",2018-10-10,236,226
"Impossible Fire","Viven Porter",2018-10-19,227,216
"Scary Kiwi","Swamp Fox IPA",2018-10-10,187,173
"Foamy Cave","Holiday Ale",2018-10-15,260,249
"Gifted Zebra Tavern",Megalodon,2018-10-18,246,235
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-20,148,137
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-17,211,199
"Sudden Octopus","Telford Porter",2018-10-10,138,124
"Hidden Lady Parlor","Inspiration Ale",2018-10-21,232,218
"Shouting Snake Inn","Amstel Bock",2018-10-15,228,217
"Brave Olive Pub","Amstel Malt",2018-10-10,213,198
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-14,209,197
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-21,184,169
"Atomic Liquors","North Beach Ale",2018-10-20,144,130
"Absent Snow","Dry Stout",2018-10-14,245,230
"Dramatic Crabs","Viven Porter",2018-10-19,208,198
"Daily Barracuda Inn","Grey Whale Ale",2018-10-09,200,188
"Peaceful Bison","Grey Whale Ale",2018-10-18,198,187
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-16,119,109
Anchor,"St. Stephen's Bock",2018-10-17,160,145
"Laughing Elephant Tavern","Red Moon",2018-10-17,213,200
"Discreet Elderberry Pub","Amstel Gold",2018-10-18,159,149
"Deep Glass Bar","Blue Whale Ale",2018-10-15,233,222
"Responsible Chair","Amstel Gold",2018-10-16,243,233
"Twelve Spider Inn","Viven Porter",2018-10-19,153,139
"Oceanic Knight Inn","Dry Stout",2018-10-11,155,145
"Tasty Fairy Tavern","Hop Hash",2018-10-17,156,142
"Naughty Bean Inn","Honey Fayre",2018-10-16,142,129
"Unusual Truffle","Hopportunity Knocks",2018-10-09,150,135
"Chinese Oak","Orca Porter",2018-10-15,157,146
"Fascinated Chick Pub","Telford Porter",2018-10-09,200,189
"Jaded Pants Pub","Celebration Ale",2018-10-14,174,159
"Iron Tigress Inn","Hop Hash",2018-10-22,195,180
"Quickest Doves","Amstel Malt",2018-10-11,125,114
"Clever Child","Killer Whale Stout",2018-10-21,207,195
"Windy Harp","Ballz Deep Double IPA",2018-10-12,161,150
"Sore Head","Holiday Ale",2018-10-17,180,166
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-22,196,185
"Hoppy Apple Brewhouse","Amstel Lentebock",2018-10-11,175,164
"Rusty Sailor Outpost","Emerald Ale",2018-10-20,139,124
"Impossible Fire","Viven Porter",2018-10-20,216,204
"Molten Ants Bar","Amstel Light",2018-10-11,226,211
"New Spider Bar","Deviator Doppelbock",2018-10-19,246,232
"Foamy Cave","Holiday Ale",2018-10-16,249,236
"Scary Kiwi","Swamp Fox IPA",2018-10-11,173,162
"Shouting Snake Inn","Amstel Bock",2018-10-16,217,203
"Absent Snow","Dry Stout",2018-10-15,230,216
"Peaceful Bison","Grey Whale Ale",2018-10-19,187,173
Anchor,"St. Stephen's Bock",2018-10-18,145,134
"Laughing Elephant Tavern","Red Moon",2018-10-18,231,217
"Daily Barracuda Inn","Grey Whale Ale",2018-10-10,188,176
"Gifted Zebra Tavern",Megalodon,2018-10-19,235,221
"Sudden Octopus","Telford Porter",2018-10-11,124,111
"Discreet Elderberry Pub","Amstel Gold",2018-10-19,149,134
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-21,184,172
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-18,232,217
"Hidden Lady Parlor","Inspiration Ale",2018-10-22,218,208
"Brave Olive Pub","Amstel Malt",2018-10-11,198,188
"Atomic Liquors","North Beach Ale",2018-10-21,184,173
"Dramatic Crabs","Viven Porter",2018-10-20,198,186
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-15,235,224
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-17,157,142
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-22,169,159
"Tasty Fairy Tavern","Hop Hash",2018-10-18,142,128
"Responsible Chair","Amstel Gold",2018-10-17,233,222
"Deep Glass Bar","Blue Whale Ale",2018-10-16,222,211
"Fascinated Chick Pub","Telford Porter",2018-10-10,189,179
"Twelve Spider Inn","Viven Porter",2018-10-20,139,128
"Clever Child","Killer Whale Stout",2018-10-22,195,182
"Chinese Oak","Orca Porter",2018-10-16,146,132
"Naughty Bean Inn","Honey Fayre",2018-10-17,129,115
"Iron Tigress Inn","Nut Brown",2018-10-09,225,214
"Quickest Doves","Amstel Malt",2018-10-12,114,101
"Unusual Truffle","Hopportunity Knocks",2018-10-10,135,120
"Oceanic Knight Inn","Dry Stout",2018-10-12,184,174
"Jaded Pants Pub","Celebration Ale",2018-10-15,159,149
"Loud Elderberry Bar","Caldera Ginger Beer",2018-10-09,250,235
"Windy Harp","Ballz Deep Double IPA",2018-10-13,210,197
"Sore Head","Holiday Ale",2018-10-18,166,151
"Hoppy Apple Brewhouse","Amstel Lentebock",2018-10-12,206,196
"Rusty Sailor Outpost","Emerald Ale",2018-10-21,180,167
"Impossible Fire","Viven Porter",2018-10-21,260,250
"New Spider Bar","Deviator Doppelbock",2018-10-20,232,220
"Molten Ants Bar","Amstel Light",2018-10-12,256,245
"Scary Kiwi","Swamp Fox IPA",2018-10-12,162,147
"Foamy Cave","Holiday Ale",2018-10-17,236,225
"Shouting Snake Inn","Amstel Bock",2018-10-17,257,245
"Absent Snow","Dry Stout",2018-10-16,216,203
"Peaceful Bison","Grey Whale Ale",2018-10-20,173,163
Anchor,"St. Stephen's Bock",2018-10-19,134,119
"Daily Barracuda Inn","Grey Whale Ale",2018-10-11,176,165
"Laughing Elephant Tavern","Red Moon",2018-10-19,217,202
"Discreet Elderberry Pub","Amstel Gold",2018-10-20,134,122
"Gifted Zebra Tavern",Megalodon,2018-10-20,221,210
"Sudden Octopus","Telford Porter",2018-10-12,160,148
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-19,217,207
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-22,172,159
"Hidden Lady Parlor","Caldera Oatmeal Stout",2018-10-09,150,140
"Brave Olive Pub","Amstel Malt",2018-10-12,188,173
"Deep Glass Bar","Blue Whale Ale",2018-10-17,211,198
"Clever Child","Schinderhannes Bock",2018-10-09,250,236
"Tasty Fairy Tavern","Hop Hash",2018-10-19,128,117
"Fascinated Chick Pub","Telford Porter",2018-10-11,179,167
"Dramatic Crabs","Viven Porter",2018-10-21,232,217
"Atomic Liquors","North Beach Ale",2018-10-22,173,158
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-16,224,211
"Chinese Oak","Orca Porter",2018-10-17,185,173
"Responsible Chair","Amstel Gold",2018-10-18,257,244
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-18,142,127
"Spirited Brew Saloon","Caldera Oatmeal Stout",2018-10-09,150,138
"Quickest Doves","Amstel Malt",2018-10-13,160,150
"Naughty Bean Inn","Honey Fayre",2018-10-18,159,147
"Unusual Truffle","Hopportunity Knocks",2018-10-11,120,107
"Iron Tigress Inn","Nut Brown",2018-10-10,214,202
"Oceanic Knight Inn","Dry Stout",2018-10-13,174,162
